ID ,pair ,at,from,combo,flw pre,flw post,stigmas,tube,pollen,harvested,fruits_yn,bugz_yn,fruits ,fruit.binary,seeds,output,OF,SF,FF
H1H,H1,high ,high ,hh,8,9,8,11,12,1-Feb,1,0,2,1,,0,0,0,0.222222222
H10H,H10,high ,high ,hh,17,17,7,28.5,150,15-Feb,0,,0,0,,0,0,0,0
H11H,H11,high ,high ,hh,14,14,10,25.5,111,15-Feb,0,,0,0,,0,0,0,0
H12H,H12,high ,high ,hh,14,17,5,29,46,15-Feb,0,,0,0,,0,0,0,0
H13H,H13,high ,high ,hh,10,11,7,12.5,5,15-Feb,1,0,1,1,,0,0,0,0.090909091
H14H,H14,high ,high ,hh,8,11,8,30.5,65,15-Feb,0,,0,0,,0,0,0,0
H16H,H16,high ,high ,hh,9,10,1,30.5,,24-Feb,1,0,2,1,41,82,8.2,4.1,0.2
H17H,H17,high ,high ,hh,11,15,1,21,,24-Feb,1,0,3,1,,0,0,0,0.2
H18H,H18,high ,high ,hh,9,14,5,21.5,,24-Feb,1,0,3,1,72,216,15.42857143,5.142857143,0.214285714
H19H,H19,high ,high ,hh,8,17,13,27.5,44,24-Feb,1,0,3,1,42,126,7.411764706,2.470588235,0.176470588
H2H,H2,high ,high ,hh,7,7,7,23.5,1,1-Feb,0,,0,0,,0,0,0,0
H20H,H20,high ,high ,hh,1,11,0,29.5,9,24-Feb,1,0,1,1,22,22,2,2,0.090909091
H21H,H21,high ,high ,hh,3,9,6,25.5,44.5,24-Feb,1,0,3,1,36,108,12,4,0.333333333
H22H,H22,high ,high ,hh,8,17,6,19.5,97.5,24-Feb,1,0,1,1,52,52,3.058823529,3.058823529,0.058823529
H23H,H23,high ,high ,hh,13,12,3,30.5,28,24-Feb,1,0,1,1,,0,0,0,0.083333333
H24H,H24,high ,high ,hh,10,21,9,29.5,60,24-Feb,1,1,1,1,62,62,2.952380952,2.952380952,0.047619048
H25H,H25,high ,high ,hh,6,11,5,27,15.5,24-Feb,1,0,7,1,71,497,45.18181818,6.454545455,0.636363636
H26H,H26,high ,high ,hh,6,5,0,23.5,,24-Feb,1,0,1,1,,0,0,0,0.2
H27H,H27 ,high ,high ,hh,5,12,5,27.5,77,24-Feb,1,0,1,1,,0,0,0,0.083333333
H28H,H28,high ,high ,hh,22,35,13,29.5,125,24-Feb,1,1,5,1,70.5,352.5,10.07142857,2.014285714,0.142857143
H3H,H3,high ,high ,hh,12,13,10,27.5,19.5,1-Feb,0,,0,0,,0,0,0,0
H4H,H4,high ,high ,hh,10,10,9,24.5,44.5,1-Feb,0,,0,0,,0,0,0,0
H5H,H5,high ,high ,hh,10,10,10,13.5,6,1-Feb,0,,0,0,,0,0,0,0
H6H,H6,high ,high ,hh,11,10,10,26,4.5,1-Feb,0,,0,0,,0,0,0,0
H7H,H7,high ,high ,hh,11,12,9,26.5,150,1-Feb,0,,0,0,,0,0,0,0
H8H,H8,high ,high ,hh,9,16,6,24,44.5,15-Feb,0,,0,0,,0,0,0,0
H9H,H9,high ,high ,hh,5,7,5,24,,15-Feb,0,,0,0,,0,0,0,0
H1L,H1,high ,low ,hl,8,6,2,40.5,92.5,1-Feb,0,,0,0,,0,0,0,0
H10L,H10,high ,low ,hl,17,18,7,42,27.5,15-Feb,0,,0,0,,0,0,0,0
H11L,H11,high ,low ,hl,14,14,8,36,20.5,15-Feb,0,,0,0,,0,0,0,0
H12L,H12,high ,low ,hl,14,13,3,41,109,15-Feb,0,,0,0,,0,0,0,0
H13L,H13,high ,low ,hl,10,12,9,29.5,3.5,15-Feb,0,,0,0,,0,0,0,0
H14L,H14,high ,low ,hl,8,9,4,40,69,15-Feb,0,,0,0,,0,0,0,0
H15L,H15,high ,low ,hl,20,25,12,34.5,65.5,24-Feb,0,,0,0,,0,0,0,0
H16L,H16,high ,low ,hl,9,9,3,46.5,,24-Feb,1,0,4,1,,0,0,0,0.444444444
H17L,H17,high ,low ,hl,11,19,7,31,,24-Feb,0,,0,0,,0,0,0,0
H18L,H18,high ,low ,hl,9,18,9,34.5,13,24-Feb,1,0,3,1,27.5,82.5,4.583333333,1.527777778,0.166666667
