pop,exp,Altitude ,Bin range ,Bin#,tube length 
"""low""",low,2093,2000-2250,1,42
"""low""",low,2093,2000-2250,1,42.5
"""low""",low,2093,2000-2250,1,38
"""low""",low,2093,2000-2250,1,41.5
"""low""",low,2093,2000-2250,1,46
"""low""",low,2093,2000-2250,1,46.5
"""low""",low,2093,2000-2250,1,41
"""low""",low,2093,2000-2250,1,28.5
M4,low,2123,2000-2250,1,40.5
M4,low,2123,2000-2250,1,45.5
M4,low,2123,2000-2250,1,45.5
M4,low,2123,2000-2250,1,42.5
M4,low,2123,2000-2250,1,42.5
M4,low,2123,2000-2250,1,44.5
M4,low,2123,2000-2250,1,48.5
M4,low,2123,2000-2250,1,38
M5,,2161,2000-2250,1,38
M5,,2161,2000-2250,1,39
M5,,2161,2000-2250,1,44.5
M5,,2161,2000-2250,1,45.5
M5,,2161,2000-2250,1,44.5
M5,,2161,2000-2250,1,45
M5,,2161,2000-2250,1,45.5
M5,,2161,2000-2250,1,39
A1,,2198,2000-2250,1,41.25
A1,,2198,2000-2250,1,44
A1,,2198,2000-2250,1,48.5
A1,,2198,2000-2250,1,40
A1,,2198,2000-2250,1,42.5
A1,,2198,2000-2250,1,48.5
A1,,2198,2000-2250,1,54
A1,,2198,2000-2250,1,42
A2,,2241,2000-2250,1,40.63
A2,,2241,2000-2250,1,43
A2,,2241,2000-2250,1,40.5
A2,,2241,2000-2250,1,39
A2,,2241,2000-2250,1,40.5
A2,,2241,2000-2250,1,37
A2,,2241,2000-2250,1,45
A2,,2241,2000-2250,1,38.5
A2,,2241,2000-2250,1,41.5
A3,,2302,2250-2500,2,46.5
A3,,2302,2250-2500,2,42.5
A3,,2302,2250-2500,2,42.5
A3,,2302,2250-2500,2,43
A3,,2302,2250-2500,2,41.5
A3,,2302,2250-2500,2,42
A3,,2302,2250-2500,2,43
A3,,2302,2250-2500,2,41.5
A4,,2318,2250-2500,2,44
A4,,2318,2250-2500,2,52
A4,,2318,2250-2500,2,44
A4,,2318,2250-2500,2,45
A4,,2318,2250-2500,2,47.5
A4,,2318,2250-2500,2,41
A4,,2318,2250-2500,2,40
A5,,2356,2250-2500,2,35
A5,,2356,2250-2500,2,35
A5,,2356,2250-2500,2,37.5
A5,,2356,2250-2500,2,38
A5,,2356,2250-2500,2,38.5
A5,,2356,2250-2500,2,34
A5,,2356,2250-2500,2,33.5
A5,,2356,2250-2500,2,31.5
A6,,2396,2250-2500,2,39.5
A6,,2396,2250-2500,2,37
A6,,2396,2250-2500,2,36
A6,,2396,2250-2500,2,38
A6,,2396,2250-2500,2,35
A6,,2396,2250-2500,2,37
